place,institution,wish name,number of spots,admission percentage,section 1,section 2,subjects 1,subjects 2,subjects 3,international,relative overall average,absolute value overall average,french grade
PARIS,Lycée Henri IV - Université PSL,CPES Humanités et Société,35,15,SC.POLITIQUE RI,HUMANITES,"['Maths', 'MATHS COMPLEMENTAIRES']","['HLP', 'HGGSP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,4,5,5
PARIS,Paris I Panthéon Sorbonne,Licence d'Economie,,,ECONOMIE,ECONOMIE,"['Maths', 'SES']","['HGGSP', 'MATHS EXPERTES']",[],0,3,3,3
PARIS,Paris I Panthéon Sorbonne,Licence de Gestion,725,54,ECONOMIE GESTION,GESTION,"['Maths', 'MATHS COMPLEMENTAIRES']",['SES'],[],0,3,3,3
PARIS,Paris I Panthéon Sorbonne,Double Licence Droit et Économie Gestion,,,DROIT,ÉCONOMIE GESTION,"['Maths', 'MATHS COMPLEMENTAIRES']","['HGGSP', 'SES']",['DROIT ET GRANDS ENJEUX'],0,4,4,4
PARIS,Paris I Panthéon Sorbonne,Double Licence Économie et Science Politique,,,ECONOMIE GESTION,SC. POLITIQUES RI,"['Maths', 'HGGSP']","['SES', 'MATHS EXPERTES']",['DROIT ET GRANDS ENJEUX'],0,4,5,4
PARIS,Paris II Panthéon Assas,Licence d'Économie et Gestion,350,24,ECONOMIE GESTION,ECONOMIE,"['Maths', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",[],0,3,4,3
PARIS,Paris II Panthéon Assas,Collège d'Économie - Filière Ingénierie en Analyse Economique,35,20,ECONOMIE GESTION,MATHEMATIQUES,['Maths'],"['SES', 'MATHS EXPERTES']",[],0,4,5,4
PARIS,Paris II Panthéon Assas,Collège d'Économie - Filière Economie et Droit,35,25,ECONOMIE GESTION,DROIT,['Maths'],"['HGGSP', 'SES']",[],0,4,5,4
PARIS,Paris Saclay,Portail Économie Gestion - Parcours Économie et Finance,170,62,ÉCONOMIE GESTION,MATHEMATIQUES,"['Maths', 'MATHS COMPLEMENTAIRES']",['MATHS EXPERTES'],[],0,3,3,3
PARIS,Paris II Panthéon Assas,Double Licence Droit et Économie Gestion,,,ÉCONOMIE GESTION,DROIT,"['Maths', 'HGGSP', 'MATHS COMPLEMENTAIRES']","['SES', 'MATHS EXPERTES']",['DROIT ET GRANDS ENJEUX'],0,3,4,4
PARIS,Paris II Panthéon Assas,CMI Efiquas,35,14,ÉCONOMIE GESTION,MATHEMATIQUES,"['Maths', 'MATHS EXPERTES']",['SES'],[],0,3,4,4
